id,target
0,8.00635
5,8.366337
15,8.414667
16,8.50605
17,8.179233
19,8.291754
20,8.452353
21,7.9594097
23,8.153391
29,8.39134
31,8.277752
32,7.786358
33,8.461648
34,8.252013
35,8.429896
37,8.390029
38,8.183047
39,8.291606
40,8.419408
44,8.064462
49,8.020764
53,8.348244
56,8.179894
60,8.317484
61,7.600174
63,8.24101
64,8.542587
66,8.427026
70,8.21242
71,8.372555
72,8.575823
75,8.187301
76,8.006444
78,8.260143
85,8.385246
86,7.9463034
89,8.44974
90,8.391614
92,7.6274366
93,8.211462
94,8.425527
100,8.177212
101,8.369531
102,8.479165
105,7.8242955
106,8.378304
107,8.281031
108,8.196721
109,8.358616
112,8.34325
113,8.173523
116,8.240963
117,8.346248
118,8.414923
120,8.049609
129,8.35711
130,8.159945
132,8.158654
133,8.442599
134,8.23013
136,8.364166
137,8.287635
141,7.9976745
142,8.317961
152,8.006669
154,8.227724
156,8.18143
160,7.8184667
161,8.1618
166,8.221364
170,8.233193
173,8.05067
174,7.682677
175,8.219336
179,8.370729
182,8.150899
186,8.071396
188,8.332054
189,8.294494
191,8.200398
193,8.295066
194,8.065078
195,8.014327
196,7.9784636
197,8.228057
199,8.300028
200,8.07122
202,8.341631
203,8.364547
204,8.376359
206,8.071193
207,8.474131
212,7.973365
217,7.998622
218,7.965792
220,8.71724
224,7.8678255
225,8.250795
229,8.4377985
230,8.408607
234,8.147051
235,8.152766
238,8.121644
239,8.445434
241,8.129487
243,8.082567
245,7.6822796
247,8.205438
251,8.320519
252,8.085419
253,8.35223
255,8.230957
256,8.334244
258,8.630862
259,8.455823
260,8.117558
263,7.788831
264,8.424847
266,8.213967
267,8.283867
268,8.395741
270,8.398503
273,8.167719
274,8.382343
275,8.085858
276,8.048498
277,8.364793
281,8.2669525
282,8.241968
285,8.276138
292,8.171842
293,7.9949064
295,8.227882
298,8.206827
299,8.42585
300,8.349018
301,8.006892
302,7.859122
309,8.138003
311,8.446645
316,8.299072
317,8.057277
319,8.184201
321,8.138887
322,8.363937
324,8.339712
328,8.051649
329,8.359536
331,8.350475
334,8.169034
337,8.095722
338,8.271152
340,8.474568
344,8.277377
349,7.9227567
350,7.7755747
351,8.529566
354,8.118292
356,8.321858
358,7.9883685
361,8.630763
364,8.29879
365,8.574314
370,8.077889
372,8.23351
374,8.2451515
375,7.8775535
376,8.238831
379,8.284805
380,8.486784
382,8.094878
383,8.3208475
385,8.384432
389,8.30238
392,8.478868
394,8.07657
395,8.427168
398,7.921739
400,8.080072
402,8.399138
403,8.343695
406,8.555484
410,8.167226
412,8.339457
413,8.290378
417,8.027164
418,8.278436
419,8.504258
420,8.243359
423,8.187116
424,8.3803625
426,8.37006
427,7.8303547
432,8.095293
434,7.954105
438,8.492227
441,8.280888
443,8.386551
448,8.460529
449,8.340957
451,8.274799
452,8.29552
457,8.575216
458,8.154054
459,8.368578
464,8.310539
465,8.307419
467,8.178198
471,8.233325
472,7.8441577
477,8.160887
478,8.27379
480,8.3000765
483,8.297639
487,8.249345
489,8.243224
491,8.200255
492,8.145003
496,8.198096
500,8.309762
501,8.130381
502,8.360524
503,8.205355
505,8.102983
506,7.9569254
514,8.009227
517,7.9619465
519,8.094774
522,8.138547
523,8.3764105
528,8.271441
530,8.079576
532,8.1118965
535,8.164709
538,8.023901
542,8.376927
546,8.088431
548,7.9543223
550,8.179468
555,8.491207
557,8.126313
559,8.101186
560,8.545954
562,8.253368
566,8.256483
567,8.358275
569,8.212224
571,8.320168
572,8.387398
574,8.379488
577,8.245701
581,8.398895
583,8.433126
587,8.138469
590,8.024576
592,8.319967
593,8.272605
608,8.564963
612,8.162309
614,8.476737
616,8.491145
617,8.274068
625,8.149396
626,8.359808
631,7.9444933
633,8.131606
636,8.101746
639,8.119537
641,8.047252
642,7.888312
644,8.238911
645,7.9952674
646,8.567526
647,8.1770735
649,8.54636
650,8.454593
651,8.075832
653,8.058316
655,8.223341
656,8.6959715
662,8.175059
669,8.398221
670,8.267547
673,8.400508
674,8.079068
675,7.8782167
685,7.895503
688,8.311321
689,8.186627
690,8.418556
691,8.340943
696,8.335136
698,8.394265
700,8.3664465
701,8.17992
702,8.133703
703,8.654837
704,7.7056713
706,8.312717
708,8.762897
716,8.409522
717,8.490317
718,8.2205
719,7.810007
720,8.253164
721,8.297031
723,7.9532685
725,7.666204
726,8.158357
728,8.452466
730,7.9039884
731,8.215307
734,8.376333
736,8.408455
739,8.228605
743,8.447824
747,8.335094
749,8.434934
752,7.880212
759,8.303421
763,7.9382534
764,7.823206
765,8.015922
766,8.511496
769,8.239495
776,8.172399
778,7.8246546
783,8.046088
784,8.149897
787,8.448433
791,7.810877
792,8.278743
796,8.477324
799,7.8716793
800,8.043321
801,8.402056
803,8.045521
804,7.9739294
805,8.28735
806,8.204537
807,8.2368965
809,8.055857
811,8.218697
813,8.140161
814,8.383477
815,7.856349
816,8.425855
818,8.131041
822,8.521634
828,8.164347
831,7.7184134
832,8.183776
834,7.9422283
835,8.587322
836,8.194319
838,8.255624
839,8.163279
842,8.16371
845,8.344086
846,8.527923
848,8.131874
852,8.037592
856,8.4712925
857,8.231639
860,8.192475
869,8.220817
871,8.116842
876,8.3980665
885,8.355834
887,8.556455
888,8.309964
889,8.2922735
891,7.6988626
895,8.3640585
902,8.282611
903,8.566332
905,7.8349586
907,8.164467
908,8.539644
909,8.262536
910,8.399342
911,8.044507
913,8.483818
914,8.445501
916,7.9414005
917,8.0903225
919,8.194908
923,8.381819
924,8.032471
925,8.289595
926,8.536255
929,8.395744
930,8.506828
931,8.214342
936,8.554091
937,8.283029
947,8.014787
949,8.260317
952,8.127375
955,8.600063
956,8.577425
961,8.38613
963,7.957686
964,7.8498154
966,8.547424
968,8.364601
969,8.049349
971,8.405392
974,8.622756
980,8.239536
981,8.092672
982,8.339763
983,8.248788
984,8.043681
986,8.213463
992,8.429428
993,8.134711
994,8.299894
998,8.309873
999,7.9192066
1004,8.634351
1006,8.0455265
1007,8.104644
1011,8.93055
1012,8.070021
1014,8.057539
1020,8.385005
1021,8.3090105
1023,8.039837
1025,7.9796014
1026,8.103648
1027,8.12852
1033,8.156508
1034,8.397206
1038,8.149671
1040,8.411143
1043,8.35631
1045,8.361362
1046,8.202477
1048,8.313357
1049,8.301472
1052,8.355872
1054,8.285824
1055,7.918854
1056,8.227434
1058,8.267288
1060,8.529183
1064,8.146765
1067,7.969978
1069,8.300913
1070,8.077225
1072,8.294924
1077,8.425624
1082,8.337147
1086,8.501988
1091,8.457683
1093,8.342137
1097,8.148553
1101,8.276736
1104,8.179977
1106,8.211644
1107,8.281925
1109,8.565687
1113,8.0139885
1115,7.998568
1119,8.259735
1120,7.905518
1123,8.378972
1131,8.395444
1132,8.211382
1134,8.438139
1136,8.378258
1137,8.601302
1138,8.285807
1139,8.120132
1141,8.135688
1143,7.915554
1144,7.8884053
1145,8.1346855
1149,8.359472
1150,8.268359
1153,8.343158
1155,7.962297
1160,8.478111
1163,7.8285875
1165,8.361076
1166,8.246167
1169,8.407182
1172,8.362348
1173,8.284903
1175,8.234473
1177,8.28709
1182,8.313118
1184,8.14259
1186,8.223314
1188,8.3400755
1193,8.431283
1196,8.171305
1198,8.568146
1199,7.8776426
1202,8.254281
1203,8.508833
1208,8.130307
1210,8.284577
1211,8.092824
1213,8.213732
1221,8.257185
1222,8.354572
1226,8.355044
1227,8.217337
1229,8.080147
1230,8.465377
1231,8.182268
1232,8.6651125
1233,8.075897
1234,8.665669
1236,8.074525
1237,8.145912
1241,8.554768
1242,8.173877
1243,8.207866
1247,8.0280285
1250,8.224814
1251,8.46325
1254,8.317895
1258,8.541767
1259,8.043209
1260,8.258111
1262,8.569048
1265,8.495142
1267,8.053342
1268,8.196574
1270,8.301159
1271,8.120278
1272,8.359932
