id,target
0,8.116215
5,8.374024
15,8.395934
16,8.489458
17,8.1824465
19,8.328583
20,8.50467
21,7.9461284
23,8.123696
29,8.341656
31,8.265063
32,7.8174257
33,8.501223
34,8.225475
35,8.404873
37,8.335095
38,8.223296
39,8.355218
40,8.427305
44,8.024175
49,8.068192
53,8.299071
56,8.155478
60,8.317321
61,7.579282
63,8.230572
64,8.537001
66,8.455086
70,8.160533
71,8.347607
72,8.519294
75,8.065208
76,8.046173
78,8.230453
85,8.401157
86,7.9502044
89,8.405047
90,8.440054
92,7.938481
93,8.218338
94,8.408574
100,8.101451
101,8.370635
102,8.40709
105,7.899984
106,8.383604
107,8.287935
108,8.187629
109,8.353455
112,8.331808
113,8.17043
116,8.286173
117,8.3347645
118,8.44231
120,8.073989
129,8.311938
130,8.155539
132,8.183799
133,8.430955
134,8.210196
136,8.343997
137,8.225103
141,8.001483
142,8.3341875
152,8.061835
154,8.244495
156,8.199945
160,7.839453
161,8.190363
166,8.21412
170,8.214715
173,8.051414
174,7.8546934
175,8.219883
179,8.346496
182,8.1333065
186,8.054739
188,8.205789
189,8.261545
191,8.153022
193,8.316748
194,8.081719
195,8.023448
196,8.029741
197,8.213115
199,8.280149
200,8.129924
202,8.324541
203,8.379882
204,8.42076
206,8.111846
207,8.475311
212,7.9280744
217,7.985219
218,8.032489
220,8.626097
224,7.882499
225,8.2778845
229,8.430636
230,8.415944
234,8.163339
235,8.244191
238,8.159673
239,8.427997
241,8.142423
243,8.116803
245,7.668751
247,8.183731
251,8.338776
252,8.037365
253,8.37269
255,8.226231
256,8.33147
258,8.638871
259,8.431086
260,8.093693
263,7.727866
264,8.467907
266,8.220816
267,8.254519
268,8.413451
270,8.416958
273,8.137816
274,8.416487
275,8.143479
276,8.066331
277,8.402909
281,8.376896
282,8.164934
285,8.271477
292,8.1546755
293,8.016075
295,8.156303
298,8.22484
299,8.51058
300,8.388905
301,7.9873185
302,7.888321
309,8.149713
311,8.459187
316,8.340181
317,8.056531
319,8.224054
321,8.18094
322,8.323327
324,8.345423
328,8.05275
329,8.442772
331,8.382037
334,8.12164
337,8.075351
338,8.278949
340,8.499831
344,8.267066
349,7.9571733
350,7.7469325
351,8.512075
354,8.037096
356,8.31669
358,7.9622107
361,8.591953
364,8.354902
365,8.5135145
370,8.026625
372,8.248943
374,8.355035
375,7.8728995
376,8.247398
379,8.27303
380,8.497978
382,8.070438
383,8.277384
385,8.422283
389,8.309923
392,8.480635
394,8.151464
395,8.442181
398,7.9599247
400,8.085375
402,8.362035
403,8.261965
406,8.54723
410,8.061616
412,8.297585
413,8.292686
417,8.084198
418,8.303575
419,8.45781
420,8.28855
423,8.179602
424,8.370671
426,8.411495
427,7.9145355
432,8.018577
434,8.062621
438,8.4912195
441,8.241129
443,8.435387
448,8.472623
449,8.2283945
451,8.2735815
452,8.280608
457,8.587259
458,8.148419
459,8.386448
464,8.349262
465,8.256737
467,8.138362
471,8.141939
472,7.7707653
477,8.140954
478,8.273407
480,8.296165
483,8.27781
487,8.323704
489,8.225635
491,8.240045
492,8.117241
496,8.230357
500,8.243941
501,8.1229105
502,8.371852
503,8.231972
505,8.152507
506,7.963097
514,7.895004
517,8.027295
519,8.092756
522,8.137812
523,8.4248085
528,8.217273
530,8.067128
532,8.103039
535,8.2050295
538,8.040609
542,8.365044
546,8.086523
548,7.9982247
550,7.990386
555,8.514841
557,8.091805
559,8.213255
560,8.562518
562,8.214219
566,8.241703
567,8.372835
569,8.303102
571,8.268723
572,8.342392
574,8.322974
577,8.245916
581,8.3501
583,8.433595
587,8.221837
